"cod_cliente","edad_cliente","margen_beneficio","sdo_financiacion","sdo_inversion","sdo_inversion_fuera_bal","sdo_inversion_no_T1","sdo_financiacion_no_T1","imp_domiciliaciones_cargo","imp_cuota_pres_hip","imp_tarj_credito","imp_tarj_debito","imp_domiciliaciones_nom","imp_domiciliaciones_pen","imp_domiciliaciones_desem","sdo_imposiciones_plazo","sdo_fondos_inversion","sdo_plan_pensiones","sdo_seguros_ahorro","sdo_cta_vivienda","sdo_descubierto","sdo_cta_vista","sdo_avales","sdo_pres_hipotecarios","sdo_pres_personales","sdo_valores","imp_movimientos_cargo","imp_movimientos_abono","num_movimientos_cargo","num_movimientos_abono","num_accesos_banca_elec","flag"
"Client961",67,21.7,0.0,20037.91,12246.83,20037.91,0.0,2137.58,0.0,0.0,698.79,974.34,304.21,0.0,18002.0,0.0,0.0,12225.22,0.0,0.0,2037.91,0.0,0.0,0.0,0.0,-1122.06,1351.71,15,6,0,"N"
"Client967",68,-164.16,164823.24,11530.78,21679.99,11530.78,164823.24,449.88,926.07,526.37,0.0,0.0,0.0,0.0,0.0,0.0,21691.18,0.0,0.0,0.0,11530.78,0.0,153397.06,10903.81,0.0,-17505.68,3574.44,13,5,71,"N"
"Client1085",69,16.61,0.0,10125.86,0.0,10125.86,0.0,210.23,0.0,0.0,0.0,0.0,634.9,0.0,6002.0,0.0,0.0,0.0,0.0,0.0,4125.86,0.0,0.0,0.0,0.0,0.0,13.56,0,3,0,"N"
"Client1108",37,132.42,29502.52,9315.97,0.0,9315.97,29502.52,1393.21,0.0,1135.49,137.71,0.0,972.67,0.0,0.0,0.0,0.0,0.0,0.0,369.03,9315.97,0.0,0.0,28002.0,0.0,-17412.56,16088.03,41,18,32,"S"
"Client1137",46,-30.94,25314.85,69.75,0.0,69.75,25314.85,0.0,242.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.75,0.0,25314.85,0.0,0.0,0.0,302.0,0,3,0,"S"
"Client1150",46,24.74,0.0,10938.76,9926.64,10938.76,0.0,384.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9775.77,0.0,0.0,0.0,0.0,10938.76,0.0,0.0,0.0,8895.44,-264.15,2757.33,6,4,7,"N"
"Client1217",58,2.13,0.0,0.0,3250.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3254.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,12,"S"
"Client1260",56,5.25,0.0,29.78,0.0,29.78,0.0,814.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.78,0.0,0.0,0.0,0.0,-285.24,472.0,10,4,0,"S"
"Client1625",50,-13.7,34109.38,50105.55,3329.25,50105.55,34109.38,649.7,395.94,1821.35,0.0,0.0,2065.98,0.0,0.0,3325.76,0.0,0.0,0.0,0.0,50105.55,0.0,33862.82,0.0,0.0,0.0,0.0,0,0,0,"N"
"Client1675",58,34.28,94543.43,362.33,0.0,362.33,94543.43,117.4,820.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.33,0.0,94543.43,0.0,0.0,-1576.37,1751.45,11,4,0,"S"
"Client1687",59,123.47,42921.22,2316.31,6675.31,2316.31,42921.22,113.29,566.75,716.7,0.0,1439.85,0.0,0.0,2102.0,0.0,6524.82,0.0,0.0,0.0,216.31,0.0,40243.54,0.0,0.0,-1538.11,2034.88,15,5,0,"S"
"Client1745",71,15.86,0.0,13066.79,0.0,13066.79,0.0,112.72,0.0,0.0,0.0,0.0,1365.78,0.0,12002.0,0.0,0.0,0.0,0.0,0.0,1066.79,0.0,0.0,0.0,0.0,0.0,608.56,0,4,0,"S"
"Client1797",47,4.75,0.0,11671.94,0.0,11671.94,0.0,221.21,0.0,0.0,144.29,1216.79,0.0,0.0,10002.0,0.0,0.0,0.0,0.0,0.0,1671.94,0.0,0.0,0.0,0.0,-272.35,0.0,10,0,13,"N"
"Client1818",37,-186.49,174364.71,202.17,0.0,202.17,174364.71,284.28,506.43,0.0,856.24,1241.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87,202.17,0.0,174360.84,0.0,0.0,-2399.85,2390.96,37,13,16,"S"
"Client1835",67,10.19,0.0,3696.4,0.0,3696.4,0.0,0.0,0.0,0.0,1092.67,0.0,2022.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3696.4,0.0,0.0,0.0,0.0,-601.41,22.0,15,3,0,"N"
"Client1926",48,8.09,1108.15,1709.25,0.0,1709.25,1108.15,235.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1709.25,0.0,0.0,1108.15,0.0,-214.54,1699.95,6,3,0,"N"
"Client1959",39,67.42,42120.77,10562.14,0.0,10562.14,42120.77,229.33,410.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10562.14,0.0,42120.77,0.0,0.0,-658.7,74.78,9,3,0,"N"
"Client2062",48,118.75,57021.0,3090.65,40.43,3090.65,57021.0,2146.82,402.31,1742.0,0.0,3361.2,0.0,0.0,0.0,0.0,41.08,0.0,0.0,0.0,3090.65,0.0,42118.58,14120.67,0.0,-1340.72,0.0,13,0,11,"S"
"Client2142",71,141.73,435769.18,1642.0,0.0,1642.0,435769.18,271.25,4547.39,3106.06,2.35,0.0,2045.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1642.0,0.0,424835.64,0.0,0.0,-998.13,0.0,11,0,13,"S"
"Client2208",58,62.7,22096.94,182.28,0.0,182.28,22096.94,473.73,306.74,0.0,92.0,0.0,889.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.28,0.0,20863.02,662.9,0.0,-321.04,918.06,9,4,0,"S"
"Client2209",69,-2.7,0.0,1195.44,0.0,1195.44,0.0,424.95,0.0,0.0,0.0,0.0,1025.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1195.44,0.0,0.0,0.0,0.0,-729.96,1025.56,9,3,0,"N"
"Client2470",44,35.37,19209.55,27698.18,1261.72,27698.18,19209.55,144.58,290.21,0.0,877.95,1870.91,0.0,0.0,0.0,0.0,1251.6,0.0,0.0,0.0,27698.18,0.0,19174.65,0.0,0.0,-995.4,1970.91,13,4,0,"N"
"Client2488",62,10.2,0.0,4726.06,2792.99,4726.06,0.0,599.99,0.0,0.0,498.99,1177.21,0.0,0.0,0.0,0.0,0.0,2740.74,0.0,0.0,4726.06,0.0,0.0,0.0,0.0,-2059.93,1177.24,18,4,0,"N"
"Client2492",37,3.71,89002.35,0.0,2234.23,0.0,89002.35,675.4,494.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1838.01,428.97,0.0,0.0,0.0,0.0,89002.35,0.0,0.0,-8412.23,8907.68,15,5,0,"S"
"Client2510",56,64.21,3924.68,275.56,0.0,275.56,3924.68,1193.28,0.0,252.0,174.08,0.0,2341.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.56,0.0,0.0,1383.52,0.0,-2051.24,2341.78,20,3,6,"S"
"Client2600",44,12.55,0.0,9542.11,0.0,9542.11,0.0,97.2,0.0,0.0,1086.04,1563.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9542.11,0.0,0.0,0.0,0.0,-160.75,154.4,5,3,0,"N"
"Client2698",53,187.75,19839.97,1509.0,39.45,1509.0,19839.97,87.2,0.0,814.35,0.0,1308.69,0.0,0.0,0.0,0.0,39.38,0.0,0.0,0.0,1509.0,0.0,0.0,19513.31,0.0,-5256.78,5517.47,11,3,61,"S"
"Client2748",48,87.0,99751.35,509.98,0.0,509.98,99751.35,1287.33,901.08,946.71,0.0,1690.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.98,0.0,87555.77,11248.37,0.0,-644.06,1831.83,6,6,11,"S"
"Client2757",68,-2.38,0.0,12222.93,0.0,12222.93,0.0,612.55,0.0,0.0,44.41,0.0,1560.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12222.93,0.0,0.0,0.0,0.0,-1169.17,1560.61,13,3,0,"N"
"Client2932",53,72.52,19866.95,28699.24,0.0,28699.24,19866.95,133.16,332.32,0.0,0.0,0.0,0.0,0.0,28002.0,0.0,0.0,0.0,0.0,0.0,699.24,0.0,19866.95,0.0,0.0,0.0,302.0,0,3,8,"N"
"Client2940",70,10.48,0.0,423.96,0.0,423.96,0.0,0.0,0.0,0.0,0.0,0.0,679.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.96,0.0,0.0,0.0,0.0,-323.2,79.58,4,3,0,"N"
"Client3047",52,180.77,211955.85,1347.49,1761.59,1347.49,211955.85,3574.07,1134.9,161.2,956.94,1855.36,0.0,0.0,0.0,0.0,1630.86,126.34,0.0,0.0,1347.49,0.0,209140.11,0.0,0.0,-5470.51,262.19,28,3,3,"S"
"Client3062",59,-10.91,110.56,7757.58,0.0,7757.58,110.56,133.52,0.0,860.56,0.0,1408.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7757.58,0.0,0.0,0.0,0.0,-298.0,2.7,4,3,20,"N"
"Client3069",56,80.73,30310.05,12939.78,0.0,12939.78,30310.05,331.77,164.15,254.08,0.0,963.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12939.78,0.0,16914.66,12002.0,0.0,-1024.15,3.49,9,4,0,"S"
"Client3148",69,15.41,461.62,175.62,0.0,175.62,461.62,84.75,0.0,144.16,46.2,0.0,811.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.62,0.0,0.0,0.0,0.0,-37.2,0.0,4,0,0,"S"
"Client3241",43,-66.68,122987.77,12176.21,0.0,12176.21,122987.77,201.13,501.94,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12176.21,0.0,122987.77,0.0,0.0,-576.01,5343.26,5,3,10,"N"
"Client3350",64,9.86,0.0,811.4,0.0,811.4,0.0,73.93,0.0,0.0,52.0,0.0,877.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.4,0.0,0.0,0.0,0.0,-261.62,137.81,6,3,0,"S"
"Client3403",38,15.29,61473.64,4823.03,198.29,4823.03,61473.64,232.04,336.52,642.0,102.0,1687.23,0.0,0.0,0.0,0.0,193.61,0.0,0.0,0.0,4823.03,0.0,59733.2,1556.14,0.0,-1157.4,822.52,13,3,4,"N"
"Client3415",49,80.71,22704.35,2164.85,0.0,2164.85,22704.35,787.7,229.86,0.0,333.44,1243.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2164.85,0.0,20501.02,0.0,0.0,-544.63,1243.71,9,4,0,"S"
"Client3417",41,85.09,49571.66,1631.43,0.0,1631.43,49571.66,453.4,397.0,295.61,0.0,1202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1631.43,0.0,49328.05,0.0,0.0,-312.95,2.02,8,3,3,"N"
"Client3480",65,123.38,24170.03,4417.62,0.0,4417.62,24170.03,330.26,0.0,482.0,0.0,0.0,1706.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4417.62,0.0,0.0,24170.03,0.0,-539.75,1743.93,9,6,0,"S"
"Client3630",62,51.7,16044.7,3071.62,5229.65,3071.62,16044.7,1525.85,0.0,0.0,0.0,1984.82,0.0,0.0,0.0,0.0,5174.9,0.0,0.0,0.0,3071.62,0.0,0.0,16044.7,0.0,-588.31,2.04,6,3,0,"N"
"Client3713",50,12.63,17209.76,14346.75,0.0,14346.75,17209.76,560.61,116.03,596.81,0.0,2257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14346.75,0.0,8672.68,7933.47,0.0,-674.88,8.03,5,3,0,"N"
"Client3717",63,148.42,41787.82,783.77,1386.92,783.77,41787.82,49.65,404.08,1002.0,0.0,1361.45,0.0,0.0,0.0,0.0,1375.78,0.0,0.0,0.0,783.77,0.0,39387.52,0.0,0.0,-1178.0,1780.88,9,5,0,"S"
"Client3718",32,12.48,817.11,39.93,0.0,39.93,817.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.93,0.0,0.0,817.11,0.0,-99.58,102.0,6,3,0,"S"
"Client3789",44,-6.15,41398.94,0.0,6689.4,0.0,41398.94,0.0,623.9,0.0,991.27,2326.45,0.0,0.0,0.0,0.0,0.0,6689.4,0.0,0.0,0.0,0.0,41398.94,0.0,0.0,0.0,0.0,0,0,7,"N"
"Client3858",35,47.4,1170.0,1297.73,56.83,1297.73,1170.0,32.0,0.0,244.89,843.96,1650.13,0.0,0.0,0.0,0.0,56.85,0.0,0.0,0.0,1297.73,0.0,0.0,0.0,0.0,-789.75,6.0,12,3,16,"S"
"Client3869",53,26.48,10940.53,910.12,0.0,910.12,10940.53,83.83,148.64,0.0,602.0,0.0,1014.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.12,0.0,10940.53,0.0,0.0,-191.93,0.0,4,0,0,"N"
"Client3920",60,48.12,42.0,1607.91,0.0,1607.91,42.0,33.34,0.0,42.0,1789.0,1541.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1607.91,0.0,0.0,0.0,0.0,-830.0,897.82,8,3,14,"N"
"Client3993",53,10.79,0.0,3585.02,1198.05,3585.02,0.0,458.7,0.0,1536.15,0.0,1817.75,0.0,0.0,0.0,0.0,1198.05,0.0,0.0,0.0,3585.02,0.0,0.0,0.0,67.68,-1802.72,1888.69,17,5,0,"N"
"Client4043",57,54.89,4630.49,32553.07,0.0,32553.07,4630.49,77.86,0.0,29.4,0.0,2007.19,0.0,0.0,25002.0,0.0,0.0,0.0,0.0,0.0,7553.07,0.0,0.0,3945.63,0.0,-25864.37,28679.0,6,6,3,"N"
"Client4071",63,6.48,0.0,0.0,0.0,0.0,0.0,417.65,0.0,0.0,0.0,2319.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1457.38,1460.38,9,9,0,"N"
"Client4104",35,-37.73,81340.44,72.94,338.2,72.94,81340.44,181.69,495.77,385.16,0.0,1120.21,0.0,0.0,0.0,0.0,336.52,0.0,0.0,0.0,72.94,0.0,80340.45,0.0,0.0,-55.81,0.0,3,0,0,"S"
"Client4192",55,31.87,1295.03,9390.58,0.0,9390.58,1295.03,757.39,0.0,0.0,0.0,2348.99,0.0,0.0,6002.0,0.0,0.0,0.0,0.0,0.0,3390.58,0.0,0.0,1295.03,0.0,-293.94,0.0,6,0,0,"S"
"Client4281",39,-94.19,89285.07,716.75,1288.17,716.75,89285.07,54.03,510.56,0.0,647.55,0.0,0.0,0.0,0.0,0.0,1278.68,0.0,0.0,0.0,716.75,0.0,89135.9,0.0,0.0,-500.15,746.0,17,6,4,"N"
"Client4414",51,90.46,6747.26,797.62,0.0,797.62,6747.26,437.9,0.0,282.34,0.0,0.0,1559.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797.62,0.0,0.0,3161.43,0.0,-544.96,127.0,13,3,10,"S"
"Client4521",48,-4.01,0.0,2907.69,0.0,2907.69,0.0,1956.0,0.0,0.0,1149.79,2501.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2907.69,0.0,0.0,0.0,0.0,-1642.67,3501.55,22,5,16,"N"
"Client4535",28,14.4,0.0,546.9,4003.18,546.9,0.0,0.0,0.0,0.0,230.17,0.0,0.0,0.0,0.0,0.0,0.0,4003.18,0.0,0.0,546.9,0.0,0.0,0.0,0.0,-149.32,352.0,7,4,15,"N"
"Client4652",70,17.76,0.0,14927.55,0.0,14927.55,0.0,77.75,0.0,0.0,0.0,0.0,1005.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14927.55,0.0,0.0,0.0,0.0,-3673.76,18059.11,8,5,0,"N"
"Client4666",33,5.06,0.0,2672.14,0.0,2672.14,0.0,22.18,0.0,0.0,0.0,1170.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2672.14,0.0,0.0,0.0,0.0,-1018.58,3691.59,6,5,0,"S"
"Client4708",56,99.92,101014.45,8510.71,0.0,8510.71,101014.45,224.22,759.6,611.79,602.0,6414.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8510.71,0.0,100634.52,0.0,906.47,-2439.32,501.29,11,4,0,"N"
"Client4719",61,-4.2,86822.21,8261.11,33.86,8261.11,86822.21,1080.51,536.16,42.0,0.0,1223.72,0.0,0.0,0.0,0.0,33.81,0.0,0.0,0.0,8261.11,0.0,86260.2,0.0,0.0,-151.25,1253.72,5,4,6,"N"
"Client4735",59,69.84,9794.88,945.57,0.0,945.57,9794.88,258.41,0.0,0.0,1292.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945.57,0.0,0.0,8293.03,0.0,-895.93,0.0,13,0,8,"S"
"Client4762",72,11.06,0.0,849.2,0.0,849.2,0.0,220.83,0.0,0.0,0.0,0.0,951.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849.2,0.0,0.0,0.0,0.0,-125.78,65.46,3,3,0,"N"
"Client4807",59,64.28,8728.18,597.18,0.0,597.18,8728.18,41.95,0.0,0.0,2686.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.18,0.0,0.0,7540.66,0.0,-403.54,740.67,6,3,11,"S"
"Client4887",33,8.95,6607.29,9062.75,644.61,9062.75,6607.29,550.68,0.0,102.0,561.2,2154.03,0.0,0.0,0.0,0.0,0.0,644.61,0.0,0.0,9062.75,0.0,0.0,6507.29,0.0,-1019.91,59.39,16,4,10,"S"
"Client4892",61,24.44,1486.19,179.79,0.0,179.79,1486.19,385.95,0.0,0.0,0.0,0.0,481.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.79,0.0,1152.0,336.19,0.0,-213.99,302.0,4,3,0,"S"
"Client4918",76,-31.2,31668.77,5295.44,0.0,5295.44,31668.77,177.94,246.28,0.0,402.0,0.0,1294.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5295.44,0.0,31668.77,0.0,0.0,-1132.95,2469.39,14,6,0,"N"
"Client4986",28,6.07,0.0,4.84,0.0,4.84,0.0,0.0,0.0,0.0,427.0,0.0,0.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84,0.0,0.0,0.0,0.0,-1323.0,428.0,5,3,0,"S"
"Client5030",59,6.59,84587.34,1565.67,53791.86,1565.67,84587.34,2110.21,737.21,78.48,0.0,1201.99,0.0,0.0,0.0,0.0,53581.83,0.0,0.0,0.0,1565.67,0.0,80841.56,3671.4,0.0,-761.02,3103.99,9,5,0,"S"
"Client5049",69,8.08,113.7,0.0,0.0,0.0,113.7,683.53,0.0,0.0,0.0,0.0,782.9,0.0,0.0,0.0,0.0,0.0,0.0,113.7,0.0,0.0,0.0,0.0,0.0,-966.56,613.51,11,3,0,"S"
"Client5141",58,-5.16,21217.52,3672.68,5586.64,3672.68,21217.52,768.25,567.4,395.35,1612.58,3130.97,0.0,0.0,0.0,0.0,5459.04,0.0,0.0,0.0,3672.68,0.0,20819.67,0.0,0.0,-5205.87,4623.58,51,12,40,"N"
"Client5228",55,17.28,680.06,1088.78,168.24,1088.78,680.06,167.11,0.0,83.74,0.0,0.0,0.0,0.0,0.0,0.0,164.7,0.0,0.0,0.0,1088.78,0.0,0.0,680.06,0.0,-765.83,1097.74,12,3,0,"S"
"Client5253",48,93.29,41040.24,7312.9,0.0,7312.9,41040.24,147.9,388.77,276.84,0.0,974.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7312.9,0.0,39366.9,1600.7,0.0,-348.36,3.73,5,3,0,"N"
"Client5270",60,10.22,0.0,10241.74,0.0,10241.74,0.0,880.18,0.0,0.0,463.05,2708.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10241.74,0.0,0.0,0.0,0.0,-277.34,11.0,7,4,0,"S"
"Client5372",50,8.7,1539.06,251.77,0.0,251.77,1539.06,400.65,133.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.77,0.0,1539.06,0.0,0.0,-617.11,366.25,9,3,0,"N"
"Client5382",35,34.06,3446.0,5795.37,0.0,5795.37,3446.0,536.2,0.0,889.53,0.0,575.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5795.37,0.0,0.0,3168.47,0.0,-807.79,675.84,11,4,14,"S"
"Client5398",43,83.62,101.81,1017.51,2789.44,1017.51,101.81,884.42,0.0,0.0,419.82,1199.84,0.0,0.0,0.0,0.0,2807.15,0.0,0.0,0.0,1017.51,0.0,0.0,0.0,0.0,-2785.67,316.53,58,5,27,"S"
"Client5484",45,4.73,0.0,264.02,0.0,264.02,0.0,536.27,0.0,0.0,175.82,1452.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.02,0.0,0.0,0.0,0.0,-413.0,0.0,17,0,0,"N"
"Client5509",56,8.16,0.0,6122.65,0.0,6122.65,0.0,0.0,0.0,0.0,0.0,698.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6122.65,0.0,0.0,0.0,0.0,0.0,698.93,0,3,0,"N"
"Client5600",56,-40.6,71063.9,627.53,20014.31,627.53,71063.9,91.99,604.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20014.04,0.0,0.0,627.53,0.0,71063.9,0.0,0.0,0.0,552.0,0,3,0,"N"
"Client5860",54,21.56,0.0,12399.43,0.0,12399.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12022.24,0.0,0.0,0.0,0.0,0.0,379.19,0.0,0.0,0.0,0.0,-398.0,0.0,3,0,0,"N"
"Client6054",64,46.26,6971.69,10863.43,0.0,10863.43,6971.69,1128.18,0.0,176.96,0.0,0.0,0.0,0.0,9002.0,0.0,0.0,0.0,0.0,0.0,1863.43,0.0,0.0,6313.31,0.0,-500.47,1092.86,4,4,0,"S"
"Client6125",34,58.15,37.55,44475.59,9742.76,46671.17,37.55,814.53,0.0,0.0,1246.88,1800.52,0.0,0.0,42002.0,0.0,0.0,9702.21,0.0,0.0,2475.59,0.0,0.0,0.0,0.0,-3496.03,2050.52,40,5,6,"N"
"Client6137",28,9.93,0.0,2504.16,0.0,2504.16,0.0,881.69,0.0,0.0,0.0,233.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2504.16,0.0,0.0,0.0,0.0,-692.46,44.68,13,3,0,"N"
"Client6147",45,27.45,959.18,16711.46,7629.78,16711.46,959.18,219.76,82.33,0.0,0.0,1111.2,0.0,0.0,0.0,0.0,0.0,7629.16,0.0,0.0,16711.46,0.0,959.18,0.0,0.0,-223.11,1111.2,7,3,0,"N"
"Client6197",39,-78.26,97950.43,1247.35,38.01,1247.35,97950.43,19.9,811.69,2849.83,0.0,2133.69,0.0,0.0,0.0,0.0,37.62,0.0,0.0,0.0,1247.35,0.0,92647.94,2877.97,0.0,-1453.7,2504.69,14,6,28,"S"
"Client6219",34,12.46,425.05,4493.29,0.0,4493.29,425.05,465.55,0.0,425.05,532.32,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4493.29,0.0,0.0,0.0,0.0,-363.35,320.83,7,3,15,"N"
"Client6232",60,71.03,16111.79,402.44,0.0,402.44,16111.79,192.02,0.0,0.0,622.0,1369.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.44,0.0,0.0,16111.79,0.0,-700.49,0.0,6,0,0,"S"
"Client6284",53,60.49,2500.84,1639.72,0.0,1639.72,2500.84,549.63,0.0,185.52,0.0,1746.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1639.72,0.0,0.0,0.0,0.0,-2605.87,2478.51,15,6,0,"S"
"Client6374",62,16.9,0.0,8742.53,6918.06,8742.53,0.0,650.54,0.0,0.0,621.69,1148.25,10.9,0.0,7002.0,0.0,6900.6,0.0,0.0,0.0,1742.53,0.0,0.0,0.0,0.0,-576.23,0.0,17,0,0,"S"
"Client6380",54,41.38,27858.89,3.27,67.57,3.27,27858.89,43.49,156.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.12,0.0,0.0,0.0,3.27,0.0,26223.04,1637.85,0.0,-83.78,85.0,4,4,0,"N"
"Client6517",50,112.77,72909.37,156.47,149.43,156.47,72909.37,291.72,404.2,62.0,38.55,0.0,521.81,0.0,0.0,0.0,149.52,0.0,0.0,0.0,156.47,0.0,70978.36,0.0,0.0,-587.6,521.81,8,3,0,"S"
