"Frequency","Angle of attack","Chord length","Free-stream velocity","Suction side displacement thickness","Scaled sound pressure level","nominal"
400,4,0.3048,71.3,0.00497773,129.575,"addition"
500,4,0.3048,71.3,0.00497773,130.715,"addition"
630,4,0.3048,71.3,0.00497773,131.615,"addition"
800,4,0.3048,71.3,0.00497773,131.755,"addition"
1000,4,0.3048,71.3,0.00497773,131.015,"addition"
1250,4,0.3048,71.3,0.00497773,129.395,"addition"
1600,4,0.3048,71.3,0.00497773,126.645,"addition"
2000,4,0.3048,71.3,0.00497773,124.395,"addition"
2500,4,0.3048,71.3,0.00497773,123.775,"addition"
3150,4,0.3048,71.3,0.00497773,121.775,"addition"
4000,4,0.3048,71.3,0.00497773,119.535,"addition"
5000,4,0.3048,71.3,0.00497773,117.785,"addition"
6300,4,0.3048,71.3,0.00497773,116.165,"addition"
8000,4,0.3048,71.3,0.00497773,113.665,"addition"
10000,4,0.3048,71.3,0.00497773,110.905,"addition"
12500,4,0.3048,71.3,0.00497773,107.405,"addition"
250,4,0.3048,39.6,0.00579636,123.543,"addition"
315,4,0.3048,39.6,0.00579636,126.843,"addition"
400,4,0.3048,39.6,0.00579636,128.633,"addition"
500,4,0.3048,39.6,0.00579636,130.173,"addition"
630,4,0.3048,39.6,0.00579636,131.073,"addition"
800,4,0.3048,39.6,0.00579636,130.723,"addition"
1000,4,0.3048,39.6,0.00579636,128.723,"addition"
1250,4,0.3048,39.6,0.00579636,126.343,"addition"
1600,4,0.3048,39.6,0.00579636,123.213,"addition"
2000,4,0.3048,39.6,0.00579636,120.963,"addition"
2500,4,0.3048,39.6,0.00579636,120.233,"addition"
3150,4,0.3048,39.6,0.00579636,118.743,"addition"
4000,4,0.3048,39.6,0.00579636,115.863,"addition"
5000,4,0.3048,39.6,0.00579636,113.733,"addition"
1250,0,0.2286,71.3,0.00214345,128.144,"addition"
1600,0,0.2286,71.3,0.00214345,129.134,"addition"
2000,0,0.2286,71.3,0.00214345,128.244,"addition"
2500,0,0.2286,71.3,0.00214345,128.354,"addition"
3150,0,0.2286,71.3,0.00214345,127.834,"addition"
4000,0,0.2286,71.3,0.00214345,125.824,"addition"
5000,0,0.2286,71.3,0.00214345,124.304,"addition"
6300,0,0.2286,71.3,0.00214345,122.044,"addition"
8000,0,0.2286,71.3,0.00214345,118.024,"addition"
10000,0,0.2286,71.3,0.00214345,118.134,"addition"
12500,0,0.2286,71.3,0.00214345,117.624,"addition"
16000,0,0.2286,71.3,0.00214345,114.984,"addition"
20000,0,0.2286,71.3,0.00214345,114.474,"addition"
315,0,0.2286,55.5,0.00229336,119.540,"addition"
400,0,0.2286,55.5,0.00229336,121.660,"addition"
500,0,0.2286,55.5,0.00229336,123.780,"addition"
630,0,0.2286,55.5,0.00229336,126.160,"addition"
800,0,0.2286,55.5,0.00229336,127.530,"addition"
1000,0,0.2286,55.5,0.00229336,128.290,"addition"
1250,0,0.2286,55.5,0.00229336,127.910,"addition"
1600,0,0.2286,55.5,0.00229336,126.790,"addition"
2000,0,0.2286,55.5,0.00229336,126.540,"addition"
2500,0,0.2286,55.5,0.00229336,126.540,"addition"
3150,0,0.2286,55.5,0.00229336,125.160,"addition"
4000,0,0.2286,55.5,0.00229336,123.410,"addition"
5000,0,0.2286,55.5,0.00229336,122.410,"addition"
6300,0,0.2286,55.5,0.00229336,118.410,"addition"
315,0,0.2286,39.6,0.00253511,121.055,"addition"
400,0,0.2286,39.6,0.00253511,123.565,"addition"
500,0,0.2286,39.6,0.00253511,126.195,"addition"
630,0,0.2286,39.6,0.00253511,128.705,"addition"
800,0,0.2286,39.6,0.00253511,130.205,"addition"
1000,0,0.2286,39.6,0.00253511,130.435,"addition"
1250,0,0.2286,39.6,0.00253511,129.395,"addition"
1600,0,0.2286,39.6,0.00253511,127.095,"addition"
2000,0,0.2286,39.6,0.00253511,125.305,"addition"
2500,0,0.2286,39.6,0.00253511,125.025,"addition"
3150,0,0.2286,39.6,0.00253511,124.625,"addition"
4000,0,0.2286,39.6,0.00253511,123.465,"addition"
5000,0,0.2286,39.6,0.00253511,122.175,"addition"
6300,0,0.2286,39.6,0.00253511,117.465,"addition"
315,0,0.2286,31.7,0.0027238,120.595,"addition"
400,0,0.2286,31.7,0.0027238,123.635,"addition"
500,0,0.2286,31.7,0.0027238,126.675,"addition"
630,0,0.2286,31.7,0.0027238,129.465,"addition"
800,0,0.2286,31.7,0.0027238,130.725,"addition"
1000,0,0.2286,31.7,0.0027238,130.595,"addition"
1250,0,0.2286,31.7,0.0027238,128.805,"addition"
1600,0,0.2286,31.7,0.0027238,125.625,"addition"
2000,0,0.2286,31.7,0.0027238,123.455,"addition"
2500,0,0.2286,31.7,0.0027238,123.445,"addition"
3150,0,0.2286,31.7,0.0027238,123.445,"addition"
4000,0,0.2286,31.7,0.0027238,122.035,"addition"
5000,0,0.2286,31.7,0.0027238,120.505,"addition"
6300,0,0.2286,31.7,0.0027238,116.815,"addition"
400,2,0.2286,71.3,0.00293031,125.116,"addition"
500,2,0.2286,71.3,0.00293031,126.486,"addition"
630,2,0.2286,71.3,0.00293031,127.356,"addition"
800,2,0.2286,71.3,0.00293031,128.216,"addition"
1000,2,0.2286,71.3,0.00293031,128.956,"addition"
1250,2,0.2286,71.3,0.00293031,128.816,"addition"
1600,2,0.2286,71.3,0.00293031,127.796,"addition"
2000,2,0.2286,71.3,0.00293031,126.896,"addition"
2500,2,0.2286,71.3,0.00293031,127.006,"addition"
3150,2,0.2286,71.3,0.00293031,126.116,"addition"
4000,2,0.2286,71.3,0.00293031,124.086,"addition"
5000,2,0.2286,71.3,0.00293031,122.816,"addition"
6300,2,0.2286,71.3,0.00293031,120.786,"addition"
8000,2,0.2286,71.3,0.00293031,115.996,"addition"
10000,2,0.2286,71.3,0.00293031,113.086,"addition"
400,2,0.2286,55.5,0.00313525,122.292,"addition"
500,2,0.2286,55.5,0.00313525,124.692,"addition"
630,2,0.2286,55.5,0.00313525,126.842,"addition"
800,2,0.2286,55.5,0.00313525,128.492,"addition"
1000,2,0.2286,55.5,0.00313525,129.002,"addition"
1250,2,0.2286,55.5,0.00313525,128.762,"addition"
1600,2,0.2286,55.5,0.00313525,126.752,"addition"
2000,2,0.2286,55.5,0.00313525,124.612,"addition"
2500,2,0.2286,55.5,0.00313525,123.862,"addition"
3150,2,0.2286,55.5,0.00313525,123.742,"addition"
4000,2,0.2286,55.5,0.00313525,122.232,"addition"
5000,2,0.2286,55.5,0.00313525,120.472,"addition"
6300,2,0.2286,55.5,0.00313525,118.712,"addition"
315,2,0.2286,39.6,0.00346574,120.137,"addition"
400,2,0.2286,39.6,0.00346574,122.147,"addition"
500,2,0.2286,39.6,0.00346574,125.157,"addition"
630,2,0.2286,39.6,0.00346574,127.417,"addition"
800,2,0.2286,39.6,0.00346574,129.037,"addition"
1000,2,0.2286,39.6,0.00346574,129.147,"addition"
1250,2,0.2286,39.6,0.00346574,128.257,"addition"
1600,2,0.2286,39.6,0.00346574,125.837,"addition"
2000,2,0.2286,39.6,0.00346574,122.797,"addition"
2500,2,0.2286,39.6,0.00346574,121.397,"addition"
3150,2,0.2286,39.6,0.00346574,121.627,"addition"
4000,2,0.2286,39.6,0.00346574,120.227,"addition"
5000,2,0.2286,39.6,0.00346574,118.827,"addition"
6300,2,0.2286,39.6,0.00346574,116.417,"addition"
315,2,0.2286,31.7,0.00372371,120.147,"addition"
400,2,0.2286,31.7,0.00372371,123.417,"addition"
500,2,0.2286,31.7,0.00372371,126.677,"addition"
630,2,0.2286,31.7,0.00372371,129.057,"addition"
800,2,0.2286,31.7,0.00372371,130.307,"addition"
1000,2,0.2286,31.7,0.00372371,130.307,"addition"
1250,2,0.2286,31.7,0.00372371,128.677,"addition"
1600,2,0.2286,31.7,0.00372371,125.797,"addition"
2000,2,0.2286,31.7,0.00372371,123.037,"addition"
2500,2,0.2286,31.7,0.00372371,121.407,"addition"
3150,2,0.2286,31.7,0.00372371,121.527,"addition"
4000,2,0.2286,31.7,0.00372371,120.527,"addition"
5000,2,0.2286,31.7,0.00372371,118.267,"addition"
6300,2,0.2286,31.7,0.00372371,115.137,"addition"
500,4,0.2286,71.3,0.00400603,126.758,"addition"
630,4,0.2286,71.3,0.00400603,129.038,"addition"
800,4,0.2286,71.3,0.00400603,130.688,"addition"
1000,4,0.2286,71.3,0.00400603,131.708,"addition"
1250,4,0.2286,71.3,0.00400603,131.718,"addition"
1600,4,0.2286,71.3,0.00400603,129.468,"addition"
2000,4,0.2286,71.3,0.00400603,126.218,"addition"
2500,4,0.2286,71.3,0.00400603,124.338,"addition"
3150,4,0.2286,71.3,0.00400603,124.108,"addition"
4000,4,0.2286,71.3,0.00400603,121.728,"addition"
5000,4,0.2286,71.3,0.00400603,121.118,"addition"
6300,4,0.2286,71.3,0.00400603,118.618,"addition"
8000,4,0.2286,71.3,0.00400603,112.848,"addition"
10000,4,0.2286,71.3,0.00400603,113.108,"addition"
12500,4,0.2286,71.3,0.00400603,114.258,"addition"
16000,4,0.2286,71.3,0.00400603,112.768,"addition"
20000,4,0.2286,71.3,0.00400603,109.638,"addition"
400,4,0.2286,55.5,0.0042862,123.274,"addition"
500,4,0.2286,55.5,0.0042862,127.314,"addition"
630,4,0.2286,55.5,0.0042862,129.964,"addition"
800,4,0.2286,55.5,0.0042862,131.864,"addition"
1000,4,0.2286,55.5,0.0042862,132.134,"addition"
1250,4,0.2286,55.5,0.0042862,131.264,"addition"
1600,4,0.2286,55.5,0.0042862,128.264,"addition"
2000,4,0.2286,55.5,0.0042862,124.254,"addition"
2500,4,0.2286,55.5,0.0042862,122.384,"addition"
3150,4,0.2286,55.5,0.0042862,122.394,"addition"
4000,4,0.2286,55.5,0.0042862,120.654,"addition"
5000,4,0.2286,55.5,0.0042862,120.034,"addition"
6300,4,0.2286,55.5,0.0042862,117.154,"addition"
8000,4,0.2286,55.5,0.0042862,112.524,"addition"
315,4,0.2286,39.6,0.00473801,122.229,"addition"
400,4,0.2286,39.6,0.00473801,123.879,"addition"
500,4,0.2286,39.6,0.00473801,127.039,"addition"
630,4,0.2286,39.6,0.00473801,129.579,"addition"
800,4,0.2286,39.6,0.00473801,130.469,"addition"
1000,4,0.2286,39.6,0.00473801,129.969,"addition"
1250,4,0.2286,39.6,0.00473801,128.339,"addition"
1600,4,0.2286,39.6,0.00473801,125.319,"addition"
2000,4,0.2286,39.6,0.00473801,121.659,"addition"
2500,4,0.2286,39.6,0.00473801,119.649,"addition"
3150,4,0.2286,39.6,0.00473801,120.419,"addition"
4000,4,0.2286,39.6,0.00473801,119.159,"addition"
5000,4,0.2286,39.6,0.00473801,117.649,"addition"
6300,4,0.2286,39.6,0.00473801,114.249,"addition"
8000,4,0.2286,39.6,0.00473801,113.129,"addition"
250,4,0.2286,31.7,0.00509068,120.189,"addition"
315,4,0.2286,31.7,0.00509068,123.609,"addition"
400,4,0.2286,31.7,0.00509068,126.149,"addition"
500,4,0.2286,31.7,0.00509068,128.939,"addition"
630,4,0.2286,31.7,0.00509068,130.349,"addition"
800,4,0.2286,31.7,0.00509068,130.869,"addition"
1000,4,0.2286,31.7,0.00509068,129.869,"addition"
1250,4,0.2286,31.7,0.00509068,128.119,"addition"
1600,4,0.2286,31.7,0.00509068,125.229,"addition"
2000,4,0.2286,31.7,0.00509068,122.089,"addition"
2500,4,0.2286,31.7,0.00509068,120.209,"addition"
3150,4,0.2286,31.7,0.00509068,120.229,"addition"
4000,4,0.2286,31.7,0.00509068,118.859,"addition"
5000,4,0.2286,31.7,0.00509068,115.969,"addition"
6300,4,0.2286,31.7,0.00509068,112.699,"addition"
400,5.3,0.2286,71.3,0.0051942,127.700,"addition"
500,5.3,0.2286,71.3,0.0051942,129.880,"addition"
630,5.3,0.2286,71.3,0.0051942,131.800,"addition"
800,5.3,0.2286,71.3,0.0051942,133.480,"addition"
1000,5.3,0.2286,71.3,0.0051942,134.000,"addition"
1250,5.3,0.2286,71.3,0.0051942,133.380,"addition"
1600,5.3,0.2286,71.3,0.0051942,130.460,"addition"
2000,5.3,0.2286,71.3,0.0051942,125.890,"addition"
2500,5.3,0.2286,71.3,0.0051942,123.740,"addition"
3150,5.3,0.2286,71.3,0.0051942,123.120,"addition"
4000,5.3,0.2286,71.3,0.0051942,120.330,"addition"
5000,5.3,0.2286,71.3,0.0051942,118.050,"addition"
6300,5.3,0.2286,71.3,0.0051942,116.920,"addition"
8000,5.3,0.2286,71.3,0.0051942,114.900,"addition"
10000,5.3,0.2286,71.3,0.0051942,111.350,"addition"
250,5.3,0.2286,39.6,0.00614329,127.011,"addition"
315,5.3,0.2286,39.6,0.00614329,129.691,"addition"
400,5.3,0.2286,39.6,0.00614329,131.221,"addition"
500,5.3,0.2286,39.6,0.00614329,132.251,"addition"
630,5.3,0.2286,39.6,0.00614329,132.011,"addition"
800,5.3,0.2286,39.6,0.00614329,129.491,"addition"
1000,5.3,0.2286,39.6,0.00614329,125.581,"addition"
1250,5.3,0.2286,39.6,0.00614329,125.721,"addition"
1600,5.3,0.2286,39.6,0.00614329,123.081,"addition"
2000,5.3,0.2286,39.6,0.00614329,117.911,"addition"
2500,5.3,0.2286,39.6,0.00614329,116.151,"addition"
3150,5.3,0.2286,39.6,0.00614329,118.441,"addition"
4000,5.3,0.2286,39.6,0.00614329,115.801,"addition"
5000,5.3,0.2286,39.6,0.00614329,115.311,"addition"
6300,5.3,0.2286,39.6,0.00614329,112.541,"addition"
200,7.3,0.2286,71.3,0.0104404,138.758,"addition"
250,7.3,0.2286,71.3,0.0104404,139.918,"addition"
315,7.3,0.2286,71.3,0.0104404,139.808,"addition"
400,7.3,0.2286,71.3,0.0104404,139.438,"addition"
500,7.3,0.2286,71.3,0.0104404,136.798,"addition"
630,7.3,0.2286,71.3,0.0104404,133.768,"addition"
800,7.3,0.2286,71.3,0.0104404,130.748,"addition"
1000,7.3,0.2286,71.3,0.0104404,126.838,"addition"
1250,7.3,0.2286,71.3,0.0104404,127.358,"addition"
1600,7.3,0.2286,71.3,0.0104404,125.728,"addition"
2000,7.3,0.2286,71.3,0.0104404,122.708,"addition"
2500,7.3,0.2286,71.3,0.0104404,122.088,"addition"
3150,7.3,0.2286,71.3,0.0104404,120.458,"addition"
4000,7.3,0.2286,71.3,0.0104404,119.208,"addition"
5000,7.3,0.2286,71.3,0.0104404,115.298,"addition"
6300,7.3,0.2286,71.3,0.0104404,115.818,"addition"
200,7.3,0.2286,55.5,0.0111706,135.234,"addition"
250,7.3,0.2286,55.5,0.0111706,136.384,"addition"
315,7.3,0.2286,55.5,0.0111706,136.284,"addition"
400,7.3,0.2286,55.5,0.0111706,135.924,"addition"
500,7.3,0.2286,55.5,0.0111706,133.174,"addition"
630,7.3,0.2286,55.5,0.0111706,130.934,"addition"
800,7.3,0.2286,55.5,0.0111706,128.444,"addition"
1000,7.3,0.2286,55.5,0.0111706,125.194,"addition"
1250,7.3,0.2286,55.5,0.0111706,125.724,"addition"
1600,7.3,0.2286,55.5,0.0111706,123.354,"addition"
2000,7.3,0.2286,55.5,0.0111706,120.354,"addition"
2500,7.3,0.2286,55.5,0.0111706,118.994,"addition"
3150,7.3,0.2286,55.5,0.0111706,117.134,"addition"
4000,7.3,0.2286,55.5,0.0111706,117.284,"addition"
5000,7.3,0.2286,55.5,0.0111706,113.144,"addition"
6300,7.3,0.2286,55.5,0.0111706,111.534,"addition"
200,7.3,0.2286,39.6,0.0123481,130.989,"addition"
250,7.3,0.2286,39.6,0.0123481,131.889,"addition"
315,7.3,0.2286,39.6,0.0123481,132.149,"addition"
400,7.3,0.2286,39.6,0.0123481,132.039,"addition"
500,7.3,0.2286,39.6,0.0123481,130.299,"addition"
630,7.3,0.2286,39.6,0.0123481,128.929,"addition"
800,7.3,0.2286,39.6,0.0123481,126.299,"addition"
1000,7.3,0.2286,39.6,0.0123481,122.539,"addition"
1250,7.3,0.2286,39.6,0.0123481,123.189,"addition"
1600,7.3,0.2286,39.6,0.0123481,121.059,"addition"
2000,7.3,0.2286,39.6,0.0123481,117.809,"addition"
2500,7.3,0.2286,39.6,0.0123481,116.559,"addition"
3150,7.3,0.2286,39.6,0.0123481,114.309,"addition"
4000,7.3,0.2286,39.6,0.0123481,114.079,"addition"
5000,7.3,0.2286,39.6,0.0123481,111.959,"addition"
6300,7.3,0.2286,39.6,0.0123481,110.839,"addition"
200,7.3,0.2286,31.7,0.0132672,128.679,"addition"
250,7.3,0.2286,31.7,0.0132672,130.089,"addition"
315,7.3,0.2286,31.7,0.0132672,130.239,"addition"
400,7.3,0.2286,31.7,0.0132672,130.269,"addition"
500,7.3,0.2286,31.7,0.0132672,128.169,"addition"
630,7.3,0.2286,31.7,0.0132672,126.189,"addition"
800,7.3,0.2286,31.7,0.0132672,123.209,"addition"
1000,7.3,0.2286,31.7,0.0132672,119.099,"addition"
1250,7.3,0.2286,31.7,0.0132672,120.509,"addition"
1600,7.3,0.2286,31.7,0.0132672,119.039,"addition"
2000,7.3,0.2286,31.7,0.0132672,115.309,"addition"
2500,7.3,0.2286,31.7,0.0132672,114.709,"addition"
3150,7.3,0.2286,31.7,0.0132672,113.229,"addition"
4000,7.3,0.2286,31.7,0.0132672,112.639,"addition"
5000,7.3,0.2286,31.7,0.0132672,111.029,"addition"
6300,7.3,0.2286,31.7,0.0132672,110.689,"addition"
800,0,0.1524,71.3,0.0015988,125.817,"addition"
1000,0,0.1524,71.3,0.0015988,127.307,"addition"
1250,0,0.1524,71.3,0.0015988,128.927,"addition"
1600,0,0.1524,71.3,0.0015988,129.667,"addition"
2000,0,0.1524,71.3,0.0015988,128.647,"addition"
2500,0,0.1524,71.3,0.0015988,128.127,"addition"
3150,0,0.1524,71.3,0.0015988,129.377,"addition"
4000,0,0.1524,71.3,0.0015988,128.857,"addition"
5000,0,0.1524,71.3,0.0015988,126.457,"addition"
6300,0,0.1524,71.3,0.0015988,125.427,"addition"
8000,0,0.1524,71.3,0.0015988,122.527,"addition"
10000,0,0.1524,71.3,0.0015988,120.247,"addition"
12500,0,0.1524,71.3,0.0015988,117.087,"addition"
16000,0,0.1524,71.3,0.0015988,113.297,"addition"
500,0,0.1524,55.5,0.00172668,120.573,"addition"
630,0,0.1524,55.5,0.00172668,123.583,"addition"
800,0,0.1524,55.5,0.00172668,126.713,"addition"
1000,0,0.1524,55.5,0.00172668,128.583,"addition"
1250,0,0.1524,55.5,0.00172668,129.953,"addition"
1600,0,0.1524,55.5,0.00172668,130.183,"addition"
2000,0,0.1524,55.5,0.00172668,129.673,"addition"
